stage	id	status	treatment	flow_cell	lane	counts
mapped to exons	06-tb-infected	tb	infected	H7LVWBBXX	l3	7843071
mapped to exons	06-tb-none	tb	none	H7LVWBBXX	l3	10537401
mapped to exons	03-tb-infected	tb	infected	H7LVWBBXX	l3	13814174
mapped to exons	03-tb-none	tb	none	H7LVWBBXX	l3	11479815
mapped to exons	08-contact-none	contact	none	H7LVWBBXX	l2	16368559
mapped to exons	08-contact-infected	contact	infected	H7LVWBBXX	l2	8824404
mapped to exons	07-contact-none	contact	none	H7LVWBBXX	l2	13183428
mapped to exons	07-contact-infected	contact	infected	H7LVWBBXX	l2	4921138
mapped to exons	06-contact-none	contact	none	H7LVWBBXX	l2	7493486
mapped to exons	06-contact-infected	contact	infected	H7LVWBBXX	l2	8878311
mapped to exons	05-contact-none	contact	none	H7LVWBBXX	l2	18382980
mapped to exons	05-contact-infected	contact	infected	H7LVWBBXX	l2	31039839
mapped to exons	04-contact-none	contact	none	H7LVWBBXX	l2	2130990
mapped to exons	04-contact-infected	contact	infected	H7LVWBBXX	l2	8649735
mapped to exons	03-contact-none	contact	none	H7LVWBBXX	l2	9426022
mapped to exons	03-contact-infected	contact	infected	H7LVWBBXX	l2	25628
mapped to exons	02-tb-none	tb	none	H7LVWBBXX	l2	20560138
mapped to exons	02-tb-infected	tb	infected	H7LVWBBXX	l2	10384450
mapped to exons	02-contact-none	contact	none	H7LVWBBXX	l2	908128
mapped to exons	02-contact-infected	contact	infected	H7LVWBBXX	l2	12627175
mapped to exons	01-tb-none	tb	none	H7LVWBBXX	l2	18478566
mapped to exons	01-tb-infected	tb	infected	H7LVWBBXX	l2	7742141
mapped to exons	01-contact-none	contact	none	H7LVWBBXX	l2	11654891
mapped to exons	01-contact-infected	contact	infected	H7LVWBBXX	l2	14026817
